"학교구분","학교구분(세부)","성별","학년","학교소재지","학교소재지(지역규모)","1)평일여가시간(시간)","1)평일여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책일읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서의도움정도","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기1","독서의계기2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서선택시도움을받는사람1","도서선택시도움을받는사람2","도서입수경로1","도서입수경로2","1)초등학생독서분야선호도1","1)초등학생독서분야선호도2","1)초등학생독서분야선호도3","2)중고등학생독서분야선호도1","2)중고등학생독서분야선호도2","2)중고등학생독서분야선호도3","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","가정의독서권장","독서대화","부모님독서권유","선생님독서권유","아침독서시간여부","1)1주일평균아침독서실시횟수","2)1회평균아침독서시간","아침독서도움여부","아침독서희망여부","독서지도방법1","독서지도방법2","독서지도방법3","독서지도방법4","독서지도방법5","독서지도방법6","독서지도방법7","독서지도방법8","학교도서관이용여부","학교도서관이용횟수","학교도서관이용이유","공공도서관이용경험","주로이용하는공공도서관의종류1","주로이용하는공공도서관의종류2","공공도서관이용이유","공공도서관비이용이유","독서프로그램실시여부","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","참여해본독서프로그램7","참여해본독서프로그램8","참여해본독서프로그램9","참여해본독서프로그램10","참여해본독서프로그램11","참여해본독서프로그램12","참여해본독서프로그램13","참여해본독서프로그램만족도","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","참여희망독서프로그램7","참여희망독서프로그램8","참여희망독서프로그램9","참여희망독서프로그램10","참여희망독서프로그램11","참여희망독서프로그램12","참여희망독서프로그램13","독서동아리참여경험","참여해본독서동아리1","참여해본독서동아리2","참여해본독서동아리3","참여해본독서동아리4","참여해본독서동아리5","참여해본독서동아리6","참여해본독서동아리만족도","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)학교도서관(도서실)을편하게이용할수있으면좋겠다","2)학급문고에책이많으면좋겠다","3)좋은책에대한소개와정보를주면좋겠다","4)독서방법,독후감쓰기등에대한교육이있으면좋겠다","5)다양한독서관련행사가있으면좋겠다","6)독서시간을늘리면좋겠다","7)책과관련된대화를나누면좋겠다","8)평소책읽는모습을보여주면좋겠다","9)책을더많이사주면좋겠다","10)도서관과서점을부모님과함께이용하면좋겠다","가중치"
1,1,1,6,15,2,4,30,1,5,1,5,2,2,1,11,9,5.0,0,2,1,4,1,9,2,6,1,3,1,4,2,7,13,15,11,,,,1,3000,,,2,9,9,9,1,5,30,2,,9,,,,,,,,2,,,2,,,,1,1,2,,,,,,,,,,,,,,,1,3,4,7,,,,,,,,,,,2,,,,,,,,1,4,6,,,,,3,3,3,3,3,3,3,3,3,2,1.211757
1,1,1,6,15,2,5,30,0,0,0,30,3,5,2,6,4,50.0,0,5,1,8,1,3,1,2,2,5,2,5,6,7,2,11,7,,,,50,120000,,,1,4,3,2,1,5,30,2,,1,6,,,,,,,1,2,3,1,1,3,2,,1,2,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,1,2,3,4,5,4,3,2,1,1,1.211757
1,1,1,6,15,2,9,0,99,99,99,99,2,3,2,11,3,100.0,20,3,1,7,3,9,2,3,5,4,1,4,4,5,13,1,11,,,,0,0,0,0,1,4,3,2,1,5,30,2,,2,3,,,,,,,1,2,2,1,1,2,5,,1,1,3,5,,,,,,,,,,,,3,,5,,,,,,,,,,,,,2,,,,,,,,1,1,5,,,,,3,2,3,3,3,3,4,4,3,4,1.211757
1,1,1,6,15,2,9,30,1,20,1,30,2,1,3,11,2,60.0,0,3,10,4,3,5,2,5,2,6,1,4,2,7,2,6,11,,,,100,1000000,,,2,4,3,3,1,5,30,3,,2,,,,,,,,1,2,3,1,2,3,3,,1,1,4,5,,,,,,,,,,,,1,,2,4,8,,,,,,,,,,,1,2,4,,,,,3,,2,,,,,,1,3,3,3,3,3,3,3,3,3,1.211757
1,1,1,6,15,3,0,20,99,99,0,0,2,3,2,4,3,1.0,0,3,1,2,3,4,2,8,1,10,5,4,1,4,11,12,6,,,,4,10000,,,1,1,3,2,1,5,20,3,,2,3,5,6,,,,,1,3,1,2,,,,12,1,1,1,7,,,,,,,,,,,,3,,1,2,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,2,3,3,3,4,4,4,3,3,0.486927
1,1,1,6,15,3,1,0,0,30,1,0,2,2,1,2,3,15.0,50,3,2,9,3,9,2,3,9,1,2,1,4,7,12,2,6,,,,5,30000,0,0,2,3,1,1,1,5,20,1,,1,2,3,5,6,,,,1,2,2,1,1,4,5,,1,1,1,2,5,,,,,,,,,,,1,,3,7,9,,,,,,,,,,,2,,,,,,,,3,1,,,,,,3,4,4,1,1,1,1,1,1,1,0.486927
1,1,1,6,15,3,1,40,0,10,0,10,1,2,11,2,2,3.0,0,3,1,4,1,9,2,1,1,3,5,4,4,5,5,6,11,,,,0,0,,,3,5,3,3,1,5,20,2,,2,3,6,,,,,,1,1,2,1,1,,1,,1,1,4,5,,,,,,,,,,,,2,,3,11,,,,,,,,,,,,2,,,,,,,,4,9,,,,,,3,1,2,3,1,1,5,5,1,3,0.486927
1,1,1,6,15,3,2,0,0,0,1,0,2,1,1,13,3,7.0,2,3,1,7,8,10,2,1,1,5,5,4,4,,15,1,6,,,,0,0,0,0,2,1,2,2,1,5,20,1,,2,3,5,6,,,,,1,2,2,2,,,,99,1,1,4,5,6,7,,,,,,,,,,1,,6,7,,,,,,,,,,,,2,,,,,,,,6,3,4,,,,,2,2,2,2,2,2,2,3,3,3,0.486927
1,1,1,6,15,3,2,0,0,30,0,30,1,3,1,2,3,30.0,0,4,7,6,8,9,2,1,1,5,5,1,5,4,1,2,5,,,,0,0,,,3,4,2,2,1,5,20,2,,5,,,,,,,,1,3,2,1,1,,1,,1,1,4,5,7,,,,,,,,,,,2,,9,,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,1,1,1,1,1,1,1,1,1,1,0.486927
1,1,1,6,15,3,3,0,0,30,0,0,2,3,1,6,2,99999.0,99999,3,4,8,1,8,8,2,5,4,4,2,6,8,13,6,12,,,,0,0,0,0,2,4,3,1,1,5,30,4,,7,,,,,,,,1,3,2,2,,,,2,1,1,13,,,,,,,,,,,,,3,,7,,,,,,,,,,,,,1,1,,,,,,3,,1,,,,,,3,3,4,4,5,5,3,3,2,4,0.486927
1,1,1,6,15,3,3,0,0,30,0,0,2,3,2,6,1,60.0,0,3,1,3,9,4,1,2,1,5,5,4,7,,2,6,7,,,,6,65000,,,1,4,1,2,1,5,30,2,,1,2,,,,,,,1,3,2,2,,,,3,1,2,,,,,,,,,,,,,,,4,3,7,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,2,1,3,4,2,2,3,4,4,1,0.486927
1,1,1,6,15,3,3,0,99,99,99,99,9,5,2,4,3,50.0,0,4,7,9,4,7,2,4,5,3,3,5,3,7,13,5,1,,,,0,0,,,2,5,2,1,1,5,30,3,,3,,,,,,,,1,5,3,1,3,1,4,,1,1,2,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,3,3,3,4,2,2,4,1,4,3,0.486927
1,1,1,6,15,3,3,30,1,0,1,30,2,3,5,6,3,99999.0,99999,2,9,1,10,9,8,2,99,,5,,99,,15,5,2,,,,0,0,0,0,5,3,3,2,1,5,20,2,,2,3,5,6,,,,,1,2,9,2,,,,3,1,1,13,,,,,,,,,,,,,3,,13,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,3,4,4,5,3,3,3,5,2,4,0.486927
1,1,1,6,15,3,4,0,2,30,0,0,2,3,4,3,3,30.0,0,3,5,3,4,5,2,3,1,7,2,5,4,7,12,13,11,,,,1,7500,,,3,3,1,1,1,5,30,2,,3,,,,,,,,1,3,7,1,3,1,6,,1,2,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,1,1,,,,,,2,,2,,,,,,3,3,2,4,4,1,4,4,3,5,0.486927
1,1,1,6,15,3,4,0,99,99,99,99,2,3,4,8,3,10.0,0,3,9,8,3,9,2,4,12,7,5,4,7,2,12,13,6,,,,0,0,,,3,1,3,1,1,5,30,3,,2,3,,,,,,,1,3,3,1,3,1,7,,1,1,1,5,,,,,,,,,,,,1,,4,7,,,,,,,,,,,,2,,,,,,,,4,1,,,,,,1,1,1,1,1,3,1,1,1,1,0.486927
1,1,1,6,15,3,4,30,0,0,0,0,5,3,2,4,5,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,3,1,5,20,3,,2,3,6,,,,,,1,5,1,2,,,,14,1,1,5,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,2,,,,,,,,6,8,,,,,,3,5,5,5,5,5,5,5,5,5,0.486927
1,1,1,6,15,3,4,30,0,15,0,10,2,4,2,5,2,80.0,0,4,3,1,7,4,2,1,9,1,5,4,3,7,5,12,6,,,,0,0,,,1,4,1,1,1,5,30,2,,1,2,3,,,,,,1,3,3,1,3,1,1,,1,1,1,,,,,,,,,,,,,3,,99,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,2,2,2,2,2,2,2,2,2,0.486927
1,1,1,6,15,3,4,30,0,30,0,10,2,4,13,6,1,14.0,0,3,7,9,7,8,2,1,1,9,5,3,1,4,2,6,5,,,,8,57000,,,1,3,3,3,1,5,20,2,,2,3,5,6,,,,,1,2,2,1,1,,1,,1,2,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,3,3,3,3,2,3,3,3,3,3,0.486927
1,1,1,6,15,3,4,30,2,0,1,30,1,3,4,5,1,73.0,0,1,7,9,10,8,1,2,12,9,5,3,9,2,2,12,9,,,,1,9000,,,1,4,1,1,1,5,30,1,,1,2,3,6,,,,,1,3,2,1,3,1,2,,1,2,,,,,,,,,,,,,,,6,1,4,,,,,,,,,,,,2,,,,,,,,5,2,,,,,,4,4,4,4,4,5,4,4,4,4,0.486927
1,1,1,6,15,3,4,30,2,0,3,30,1,1,6,,1,7.0,0,1,7,9,8,9,1,2,1,9,5,3,2,1,2,5,11,,,,2,31600,,,2,2,2,9,1,5,20,1,,2,3,5,6,,,,,1,2,2,9,,,,,1,1,5,7,,,,,,,,,,,,2,,99,,,,,,,,,,,,,2,,,,,,,,3,9,,,,,,2,2,3,3,3,2,2,3,3,4,0.486927
1,1,1,6,15,3,5,10,99,99,99,99,4,3,1,2,3,5.0,10,3,1,7,1,5,1,2,1,10,4,1,2,4,6,2,7,,,,1,18900,0,0,2,3,3,3,1,5,20,2,,2,3,5,6,,,,,1,3,2,2,,,,2,1,1,1,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,2,3,3,3,3,3,3,3,0.486927
1,1,1,6,15,3,6,0,0,5,0,0,1,3,4,2,3,42.0,0,5,1,9,6,9,9,6,5,3,1,2,4,,12,2,7,,,,0,0,,,1,1,1,1,1,5,30,1,,7,,,,,,,,1,1,2,2,,,,12,1,2,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,2,,,,,,,,4,8,,,,,,1,1,1,1,1,5,5,5,1,2,0.486927
1,1,1,6,15,3,6,0,1,0,0,0,9,5,1,4,5,99999.0,99999,4,1,4,1,4,2,,1,10,4,5,3,,13,11,12,,,,0,0,0,0,2,3,4,1,1,5,30,3,,1,2,3,5,6,,,,2,,,2,,,,12,1,2,,,,,,,,,,,,,,,1,4,7,11,,,,,,,,,,,2,,,,,,,,1,3,,,,,,5,5,5,5,5,5,5,5,5,5,0.486927
1,1,1,6,15,3,7,30,99,99,99,99,2,2,4,2,2,20.0,0,4,5,9,1,5,2,3,5,12,1,5,4,2,11,2,7,,,,0,0,,,2,4,2,3,1,5,20,2,,3,5,6,,,,,,1,2,2,9,,,,,1,1,4,5,7,,,,,,,,,,,9,,6,8,,,,,,,,,,,,2,,,,,,,,9,1,,,,,,3,4,3,3,3,3,3,3,3,3,0.486927
1,1,1,6,15,3,9,0,2,0,0,20,2,4,2,11,3,30.0,0,3,4,8,9,8,3,2,5,1,2,5,4,,12,13,5,,,,0,0,,,2,5,3,1,1,5,30,2,,2,3,,,,,,,1,2,2,2,,,,6,1,2,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,3,2,3,3,2,4,3,2,3,4,0.486927
1,1,1,6,16,2,1,0,0,0,0,30,2,2,2,6,2,21.0,0,4,1,5,1,7,1,,10,12,5,2,99,,12,11,2,,,,99999,99999999,,,2,4,2,3,1,3,20,5,,2,,,,,,,,2,,,2,,,,6,1,2,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,3,3,3,3,9,5,4,4,5,5,1.211757
