"학교구분","학교구분(세부)","성별","학년","학교소재지","학교소재지(지역규모)","1)평일여가시간(시간)","1)평일여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책일읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서의도움정도","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기1","독서의계기2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서선택시도움을받는사람1","도서선택시도움을받는사람2","도서입수경로1","도서입수경로2","1)초등학생독서분야선호도1","1)초등학생독서분야선호도2","1)초등학생독서분야선호도3","2)중고등학생독서분야선호도1","2)중고등학생독서분야선호도2","2)중고등학생독서분야선호도3","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","가정의독서권장","독서대화","부모님독서권유","선생님독서권유","아침독서시간여부","1)1주일평균아침독서실시횟수","2)1회평균아침독서시간","아침독서도움여부","아침독서희망여부","독서지도방법1","독서지도방법2","독서지도방법3","독서지도방법4","독서지도방법5","독서지도방법6","독서지도방법7","독서지도방법8","학교도서관이용여부","학교도서관이용횟수","학교도서관이용이유","공공도서관이용경험","주로이용하는공공도서관의종류1","주로이용하는공공도서관의종류2","공공도서관이용이유","공공도서관비이용이유","독서프로그램실시여부","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","참여해본독서프로그램7","참여해본독서프로그램8","참여해본독서프로그램9","참여해본독서프로그램10","참여해본독서프로그램11","참여해본독서프로그램12","참여해본독서프로그램13","참여해본독서프로그램만족도","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","참여희망독서프로그램7","참여희망독서프로그램8","참여희망독서프로그램9","참여희망독서프로그램10","참여희망독서프로그램11","참여희망독서프로그램12","참여희망독서프로그램13","독서동아리참여경험","참여해본독서동아리1","참여해본독서동아리2","참여해본독서동아리3","참여해본독서동아리4","참여해본독서동아리5","참여해본독서동아리6","참여해본독서동아리만족도","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)학교도서관(도서실)을편하게이용할수있으면좋겠다","2)학급문고에책이많으면좋겠다","3)좋은책에대한소개와정보를주면좋겠다","4)독서방법,독후감쓰기등에대한교육이있으면좋겠다","5)다양한독서관련행사가있으면좋겠다","6)독서시간을늘리면좋겠다","7)책과관련된대화를나누면좋겠다","8)평소책읽는모습을보여주면좋겠다","9)책을더많이사주면좋겠다","10)도서관과서점을부모님과함께이용하면좋겠다","가중치"
1,1,1,6,13,2,5,30,0,5,0,5,4,3,4,2,3,3.0,0,5,9,6,1,9,3,2,1,7,5,1,99,,1,2,6,,,,0,0,,,5,5,5,2,1,5,30,4,,2,3,,,,,,,1,3,2,2,,,,3,1,1,1,4,,,,,,,,,,,,3,,6,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,4,5,2,5,3,4,4,3,2,4,1.234064
1,1,1,6,13,2,7,0,99,99,99,99,3,4,2,11,2,7.0,0,5,1,4,1,4,1,5,5,1,3,5,5,8,12,1,6,,,,0,0,,,3,5,3,4,1,5,30,2,,2,3,,,,,,,1,4,8,1,1,2,2,,1,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,4,4,4,4,4,4,4,1.234064
1,1,1,6,13,2,7,0,99,99,99,99,4,2,2,11,3,8.0,0,4,5,9,2,5,2,3,5,7,1,2,4,,1,6,2,,,,0,0,,,5,5,2,3,1,5,30,4,,2,3,4,5,,,,,1,4,1,2,,,,13,1,1,2,4,,,,,,,,,,,,3,,99,,,,,,,,,,,,,1,1,,,,,,3,,9,,,,,,3,3,3,4,4,5,4,4,3,3,1.234064
1,1,1,6,13,2,7,0,99,99,99,99,9,4,2,4,3,2.0,0,4,5,6,1,2,3,2,1,5,2,1,7,4,1,10,2,,,,0,0,,,4,4,3,3,1,5,30,4,,2,3,4,5,,,,,1,3,1,2,,,,6,1,1,2,4,,,,,,,,,,,,3,,99,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,3,3,3,3,3,1.234064
1,1,1,6,13,2,9,0,0,30,0,0,3,2,2,3,2,20.0,0,4,5,10,4,1,1,,7,9,4,3,7,,12,11,2,,,,0,0,,,1,2,1,2,1,5,30,2,,3,,,,,,,,2,,,1,2,1,1,,1,1,4,,,,,,,,,,,,,3,,12,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,2,2,2,3,1,3,3,2,2,2,1.234064
1,1,1,6,15,2,1,0,0,30,1,0,2,1,1,4,3,80.0,10,2,9,1,9,7,1,3,4,9,5,3,1,7,12,11,7,,,,3,45000,0,0,1,3,2,2,1,5,30,2,,2,5,,,,,,,1,3,2,1,1,2,1,,1,2,,,,,,,,,,,,,,,3,98,,,,,,,,,,,,,2,,,,,,,,3,5,,,,,,2,2,3,4,4,2,4,4,1,3,1.211757
1,1,1,6,15,2,2,30,0,0,0,30,2,2,1,6,1,37.0,2,4,1,7,8,9,1,2,1,10,1,5,2,4,6,11,15,,,,0,0,0,0,3,4,3,2,1,5,30,9,,1,2,3,5,,,,,1,3,3,2,,,,3,1,2,,,,,,,,,,,,,,,5,1,5,11,,,,,,,,,,,2,,,,,,,,5,5,,,,,,5,2,2,3,2,3,4,4,3,2,1.211757
1,1,1,6,15,2,3,0,1,30,1,0,2,2,6,3,1,150.0,0,2,7,1,9,8,1,2,5,1,3,5,1,4,2,6,5,,,,3,28500,,,2,3,2,2,1,5,30,2,,1,3,,,,,,,1,1,2,1,2,1,1,,1,1,3,5,,,,,,,,,,,,3,,2,11,,,,,,,,,,,,2,,,,,,,,3,1,2,5,,,,3,3,3,3,3,2,2,3,3,3,1.211757
1,1,1,6,15,2,3,30,2,30,0,0,2,3,4,1,3,100.0,0,3,1,9,9,4,1,2,1,5,5,3,4,,7,12,5,,,,0,0,,,4,4,1,3,1,5,30,2,,7,,,,,,,,1,2,2,2,,,,13,1,2,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,3,3,3,3,3,3,3,3,3,3,1.211757
1,1,1,6,15,2,4,30,1,0,1,0,2,2,6,5,3,35.0,0,3,9,3,9,4,1,2,7,2,5,4,3,4,12,5,11,,,,0,0,,,3,3,3,3,1,5,30,3,,7,,,,,,,,1,5,3,2,,,,1,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,2,2,3,2,2,3,3,2,3,1.211757
